eid,subject
2-s2.0-85077235046,environmental science
2-s2.0-85078657603,agricultural & biological sciences
2-s2.0-85078657603,earth and planetary sciences
2-s2.0-85078657603,environmental science
2-s2.0-85074307588,"biochemistry, genetics & molecular biology"
2-s2.0-85074307588,medicine
2-s2.0-85062418374,medicine
2-s2.0-85086120157,medicine
2-s2.0-85088563670,medicine
2-s2.0-85089249342,agricultural & biological sciences
2-s2.0-85096758209,earth and planetary sciences
2-s2.0-85096758209,physics and astronomy
2-s2.0-85077971646,medicine
2-s2.0-85089509873,unknown
2-s2.0-85096938144,agricultural & biological sciences
2-s2.0-85086669702,medicine
2-s2.0-85082841595,medicine
2-s2.0-85088258024,unknown
2-s2.0-85085994877,multidisciplinary
2-s2.0-85080921056,computer science
2-s2.0-85080921056,engineering
2-s2.0-85093982284,earth and planetary sciences
2-s2.0-85093982284,physics and astronomy
2-s2.0-85081545321,"biochemistry, genetics & molecular biology"
2-s2.0-85081545321,medicine
2-s2.0-85081118470,medicine
2-s2.0-85074040941,medicine
2-s2.0-85079434288,unknown
2-s2.0-85079830392,medicine
2-s2.0-85078868152,medicine
2-s2.0-85076858833,medicine
2-s2.0-85078368828,medicine
2-s2.0-85077946639,medicine
2-s2.0-85139701593,unknown
2-s2.0-85139646799,unknown
2-s2.0-85091850370,agricultural & biological sciences
2-s2.0-85091850370,earth and planetary sciences
2-s2.0-85091850370,environmental science
2-s2.0-85077175015,medicine
2-s2.0-85074640671,medicine
2-s2.0-85077402058,medicine
2-s2.0-85091267107,physics and astronomy
2-s2.0-85092680472,medicine
2-s2.0-85124020554,unknown
2-s2.0-85103806704,"biochemistry, genetics & molecular biology"
2-s2.0-85103806704,medicine
2-s2.0-85102198866,"biochemistry, genetics & molecular biology"
2-s2.0-85102198866,chemistry
2-s2.0-85102198866,multidisciplinary
2-s2.0-85102198866,physics and astronomy
2-s2.0-85104856703,"biochemistry, genetics & molecular biology"
2-s2.0-85104856703,chemistry
2-s2.0-85104856703,multidisciplinary
2-s2.0-85104856703,physics and astronomy
2-s2.0-85120908291,medicine
2-s2.0-85118485974,multidisciplinary
2-s2.0-85118466805,medicine
2-s2.0-85097942898,medicine
2-s2.0-85113344249,medicine
2-s2.0-85091841297,medicine
2-s2.0-85091841297,neuroscience
2-s2.0-85106923396,"biochemistry, genetics & molecular biology"
2-s2.0-85106923396,medicine
2-s2.0-85116424744,medicine
2-s2.0-85116957350,medicine
2-s2.0-85114679906,unknown
2-s2.0-85115321127,medicine
2-s2.0-85100047819,medicine
2-s2.0-85109280349,agricultural & biological sciences
2-s2.0-85109280349,environmental science
2-s2.0-85107047833,"biochemistry, genetics & molecular biology"
2-s2.0-85107047833,immunology and microbiology
2-s2.0-85107047833,medicine
2-s2.0-85142233442,medicine
2-s2.0-85113236018,medicine
2-s2.0-85105604094,medicine
2-s2.0-85105604094,neuroscience
2-s2.0-85108250115,earth and planetary sciences
2-s2.0-85108250115,physics and astronomy
2-s2.0-85104079477,"biochemistry, genetics & molecular biology"
2-s2.0-85104079477,medicine
2-s2.0-85104986773,earth and planetary sciences
2-s2.0-85104986773,physics and astronomy
2-s2.0-85104975317,earth and planetary sciences
2-s2.0-85104975317,physics and astronomy
2-s2.0-85104991122,earth and planetary sciences
2-s2.0-85104991122,physics and astronomy
2-s2.0-85104962488,earth and planetary sciences
2-s2.0-85104962488,physics and astronomy
2-s2.0-85106509698,medicine
2-s2.0-85116017488,medicine
2-s2.0-85090201881,medicine
2-s2.0-85103837539,"biochemistry, genetics & molecular biology"
2-s2.0-85103837539,immunology and microbiology
2-s2.0-85103837539,medicine
2-s2.0-85103837539,neuroscience
2-s2.0-85099183945,"biochemistry, genetics & molecular biology"
2-s2.0-85099183945,medicine
2-s2.0-85102090888,medicine
2-s2.0-85094193837,"biochemistry, genetics & molecular biology"
2-s2.0-85094193837,medicine
2-s2.0-85090061408,"biochemistry, genetics & molecular biology"
2-s2.0-85090061408,medicine
